/* Main Interface */
Presentation	介紹
Data Catalog	資料目錄
Playlist Builder	播放清單產生器
Web Page	網頁
Settings	設置

/* Presentation */
Annotate	註釋
Zoom	放大
Slices	片
User Position	用戶位置
User Pos	用戶位置
^Data Info	資料內容
Reset	重置
Z-Rotate	Z軸旋轉
Gestures	手勢
Frame Slider	飛梭
Frame	影片片格
Clear Lines	清除線條
Clear	清除
Lines	線
Point	指標
Draw	繪圖
Icons	圖示
Delete All	全部刪除
^Icon AddDel	新增/刪除圖示
Window Size	視窗大小
Show	展示
Hide	隱藏
Slicer	分割視窗
^Split Sphere	即將球體分成多個視窗請稍候...
^Position Info	調整至相對於赤道的縱向位置
^Frame Info	使用飛梭滾動到資料集相對應的影片片格
^Loading Searching Library	加載搜索函式庫。\n請稍候...
^Playlist Button	播放清單產生器按鍵
^Catalog Button	目錄按鍵
Volume	音量
^Volume Info	調整SOS影片之音量

/* Dataset Layers */
Display Elements	顯示元素
Layers	圖層
^Layer Name	SOS錯誤：圖層名稱無法識別
Back	返回
Transparency	透明度
Invisible	不顯示
Visible	顯示
Delete Layer	刪除圖層
Labels	標籤/字幕
Labels / Captions	標籤/字幕
PIPs	PIPs
Overlay:	覆蓋：
PIP:	PIP:
unnamed	未命名

/* Annotations */
Line Options	線條選項
Icon Options	圖示選項
Pointer	指標
Use Default	使用默認
Use Icon	使用圖示
icons in dataset	資料集圖示
icon in dataset	資料集圖示
icons in library	圖庫中圖示

/* Gestures Help */
Presentation Help	演示説明
Single Tap	按一下
Double Tap	按兩下
Yaw	偏航
Pitch	間距
Roll	滾動
^Toggle Play	切換播放或暫停
^Toggle Annotate	切換至註釋
^Toggle Zoom	切換至縮小或放大
Annotation Help	註釋說明
^Toggle Point	切換點或繪圖
Clear Draw Lines	清除畫線
Add Icon	新增圖示
Touch & Hold	觸摸並按住
Clear All Icons	清除所有圖示
Zoom Help	如何縮放
Move Window	移動視窗
^Zoom Factor	增加/減少縮放比例
^Spread Pinch	分割數量

/* Playlist Selection */
playlist	播放清單
live program	直播
datasets search results	資料集搜索結果
live program results	即時直播搜尋結果
datasets	資料集
Missing Data	缺少資料集
^Catalog Type Missing Playlist File	該數據集的數據目錄在SOS伺服器上無法被找到。
^No Data	沒有資料
^Open Error	開啟資料錯誤
^Layer Error	開啟圖層錯誤
^Notes Missing	無筆記
^Notes Unsupported	不支援筆記
Missing Playlist	缺少播放清單
playlists	播放清單
Select Playlist	選擇播放清單
^Load Playlist	選擇一個播放清單後載入
^Read Playlist	讀取播放清單
overlays	疊加
Overlays	疊加
Loading Dataset	加載數據集
^Playlist Type Missing Playlist File	此數據集的播放列表中無法於SOS伺服上找到。
Missing Live Program	缺少直播節目
^Missing Live Program Playlist File	直播數據在SOS伺服器上無法被找到。
Reload Current	重新載入
non-Standard Path	非正常路徑
^NonStandard Path	此資料集無法於SOS伺服器上發現，請將此資料集目錄移至 /shared/sos/media/site-custom 目錄底下

/* Highlights Datasets */
spotlight datasets results	搜尋亮點資料集結果
Spotlight Datasets Unavailable	亮點資料在伺服器上無法使用
^No Spotlights	無亮點資料集
Cannot Add Dataset	無法增加資料集
^Temp Datasets Not Allowed	暫存資料存取不被允許

/* Playlist Builder Controls */
Add	增加
Save	儲存
Delete	刪除
New	新增
Open	開啟
Present	目前內容
Rename	重新命名
Remove	刪除
Presenter Notes	演講者筆記
unsaved	未存檔
^Notes Placeholder	在此輸入您的筆記
^No Notes	沒有可用的筆記

/* Playlist Builder Information */
Delete Playlist	刪除播放清單
Rename Playlist	重新命名播放清單
Save Playlist	儲存播放清單
Present Playlist	目前播放清單
^Deleted Info	播放清單刪除
^Delete Error	無法刪除播放清單
^Delete Confirm	確認要刪除播放清單?
^Exists Info	播放清單已存在
^Path Verify	驗證已指定的目錄路徑，新的子目錄必須在SOS伺服器上建立
^Different Name	請選擇一個不同的名稱
Playlist	播放清單
renamed to	更名
^Rename Error	錯誤：無法更名播放清單
^New Name	輸入一個新的播放清單名稱
^Enter Name	請輸入欲儲存之清單名稱
^Save Action	按儲存編輯播放清單
^Save Changes	將儲存播放清單的修正內容
^Save Needs Playlist	要保存更改，請按取消並首先在工具欄上輸入播放列表名稱。
^Saved Info	在SOS伺服器上儲存的播放清單
^Save Error	錯誤：無法儲存播放清單
^Save First	新建播放清單需要先儲存
^Save Question	儲存變更？
^Editing Choice	是否要繼續編輯此播放清單，或清除？
^Invalid Characters	請重新輸入，不支援空格及特殊字元：
^Playlist Error	播放清單錯誤：
^Created Playlist	新增SOS播放清單
Saved	儲存
time	時間
dataset	資料集
Contains	包含
OK	行
Cancel	取消
Don't Save	不儲存
Continue	繼續
new_playlist	新的播放列表

/* Dataset Information */
Data Info	資料內容
^Select Datasets	請選擇資料集
^Dataset Archived	資料集存檔，並從SOS資料目錄中刪除
^No Description	沒有可用的描述
Notable Features:	顯著特點：
Details:	詳細資訊：
Catalog ID:	目錄編號：
archived	存檔
(variation)	（變化）
Keyword	關鍵字
Keywords	關鍵字
Category	分類
Categories	分類
Contact	聯繫
Dataset Developer	資料集開發人員
Visualization Developer	視覺化開發
Source:	資源：
Dataset Dates:	資料集日期：
Added to Catalog:	新增到目錄：
Playlist:	播放清單：
Format:	格式：
^Silent Movie	即時動畫（無音訊）
^Narrated Movie	敘述電影（帶音訊）
Movie	電影
Single Image	單張圖像
with Translated Audio	本資料含有翻譯音訊
with Audio	帶音訊
without Audio	不帶音訊
SOS Web	SOS官方網站
^Translated Movie	敘述電影（帶翻譯音頻）
Frame Size:	片格尺寸：

